spaltenindex,thickness
0,187
1,188
2,188
3,187
4,186
5,186
6,187
7,187
8,187
9,186
10,185
11,184
12,187
13,187
14,187
15,187
16,186
17,187
18,186
19,185
20,184
21,183
22,183
23,183
24,182
25,181
26,176
27,164
28,161
29,157
30,155
31,154
32,151
33,149
34,146
35,145
36,142
37,141
38,139
39,138
40,135
41,132
42,130
43,127
44,125
45,125
46,124
47,124
48,123
49,123
50,126
51,134
52,136
53,136
54,137
55,139
56,139
57,142
58,149
59,156
60,162
61,163
62,156
63,151
64,151
65,149
66,147
67,145
68,144
69,145
70,143
71,142
72,144
73,153
74,154
75,155
76,156
77,156
78,154
79,154
80,153
81,153
82,154
83,156
84,158
85,161
86,167
87,167
88,167
89,167
90,166
91,166
92,164
93,161
94,161
95,157
96,153
97,149
98,145
99,143
100,143
101,141
102,141
103,141
104,140
105,140
106,140
107,140
108,139
109,138
110,137
111,137
112,137
113,138
114,139
115,138
116,138
117,137
118,135
119,129
120,128
121,128
122,128
123,126
124,126
125,125
126,125
127,128
128,131
129,131
130,131
131,133
132,134
133,134
134,133
135,132
136,124
137,124
138,125
139,126
140,126
141,125
142,125
143,124
144,122
145,121
146,121
147,121
148,120
149,119
150,119
151,118
152,117
153,116
154,115
155,114
156,114
157,115
158,116
159,116
160,117
161,117
162,117
163,117
164,117
165,116
166,114
167,112
168,110
169,109
170,108
171,108
172,107
173,106
174,106
175,104
176,102
177,100
178,99
179,98
180,96
181,96
182,96
183,95
184,94
185,93
186,92
187,92
188,91
189,89
190,89
191,88
192,89
193,90
194,90
195,94
196,101
197,103
198,104
199,103
200,101
201,100
202,99
203,94
204,94
205,93
206,92
207,93
208,96
209,95
210,96
211,96
212,98
213,99
214,101
215,105
216,109
217,112
218,113
219,113
220,114
221,113
222,114
223,115
224,116
225,116
226,126
227,126
228,131
229,132
230,135
231,136
232,137
233,139
234,142
235,150
236,155
237,159
238,159
239,159
240,162
241,165
242,165
243,166
244,166
245,167
246,170
247,163
248,157
249,155
250,155
251,154
252,153
253,153
254,153
255,153
256,153
257,153
258,153
259,153
260,153
261,153
262,154
263,155
264,154
265,156
266,159
267,167
268,168
269,168
270,170
271,171
272,172
273,173
274,174
275,174
276,175
277,177
278,178
279,179
280,180
281,183
282,186
283,188
284,188
285,192
286,194
287,197
288,199
289,200
290,201
291,202
292,203
293,203
294,204
295,205
296,206
297,207
298,209
299,211
300,214
301,217
302,219
303,221
304,224
305,228
306,230
307,231
308,233
309,234
310,234
311,234
312,234
313,234
314,234
315,233
316,233
317,234
318,234
319,234
320,236
321,236
322,238
323,238
324,238
