spaltenindex,thickness
0,90
1,95
2,95
3,96
4,96
5,101
6,101
7,97
8,98
9,98
10,98
11,98
12,96
13,96
14,96
15,95
16,95
17,95
18,94
19,94
20,94
21,94
22,94
23,94
24,94
25,97
26,96
27,95
28,94
29,95
30,95
31,95
32,95
33,96
34,94
35,93
36,89
37,88
38,88
39,88
40,88
41,87
42,87
43,86
44,86
45,84
46,83
47,81
48,79
49,78
50,76
51,74
52,73
53,71
54,71
55,69
56,66
57,62
58,58
59,57
60,57
61,57
62,69
63,71
64,71
65,71
66,71
67,71
68,70
69,70
70,70
71,70
72,70
73,70
74,70
75,70
76,71
77,72
78,73
79,74
80,74
81,76
82,77
83,77
84,78
85,78
86,79
87,80
88,80
89,80
90,81
91,89
92,89
93,89
94,90
95,89
96,89
97,89
98,89
99,89
100,89
101,89
102,89
103,89
104,89
105,89
106,89
107,89
108,89
109,89
110,89
111,90
112,90
113,90
114,90
115,91
116,92
117,93
118,94
119,94
120,95
121,95
122,95
123,95
124,95
125,95
126,95
127,95
128,93
129,93
130,93
131,92
132,91
133,91
134,91
135,86
136,75
137,69
138,64
139,63
140,62
141,62
142,62
143,61
144,60
145,60
146,59
147,59
148,58
149,56
150,55
151,55
152,54
153,53
154,53
155,52
156,52
157,51
158,51
159,50
160,50
161,48
162,48
163,47
164,46
165,46
166,45
167,44
168,43
169,41
170,40
171,40
172,39
173,39
174,39
175,40
176,41
177,42
178,47
179,47
180,44
181,44
182,44
183,44
184,44
185,44
186,43
187,42
188,40
189,31
190,32
191,31
192,30
193,30
194,28
195,28
196,28
197,31
198,33
199,41
200,47
201,52
202,50
203,47
204,47
205,46
206,46
207,45
208,44
209,43
210,41
211,40
212,40
213,40
214,40
215,40
216,39
217,39
218,39
219,39
220,38
221,38
222,38
223,38
224,38
225,38
226,38
227,37
228,36
229,36
230,37
231,37
232,37
233,41
234,42
235,42
236,44
237,44
238,46
239,46
240,47
241,48
242,49
243,49
244,50
245,50
246,52
247,56
248,61
249,65
250,68
251,70
252,72
253,74
254,75
255,76
256,77
257,78
258,78
259,80
260,80
261,82
262,84
263,84
264,85
265,86
266,87
267,86
268,87
269,87
270,87
271,87
272,85
273,81
274,78
275,75
276,74
277,71
278,70
279,67
280,66
281,63
282,62
283,61
284,61
285,61
286,61
287,61
288,62
289,63
290,68
291,72
292,73
293,78
294,82
295,86
296,92
297,93
298,94
299,94
300,92
301,91
302,92
303,91
304,92
305,91
306,91
307,90
308,90
309,91
310,91
311,91
312,91
313,91
314,92
315,94
316,95
317,97
318,97
319,97
320,97
321,98
322,98
323,98
324,98
325,99
326,99
327,98
328,96
329,96
330,95
331,93
332,93
333,93
334,94
335,94
336,93
337,93
338,93
339,93
340,94
341,95
342,97
343,99
344,100
345,100
346,100
347,101
348,102
349,101
350,100
351,102
352,101
353,101
354,100
355,101
356,99
357,100
358,101
359,102
360,102
361,103
362,112
363,113
364,113
365,113
366,113
367,113
368,113
369,113
370,113
371,113
372,113
373,112
374,112
375,112
376,112
377,113
378,113
379,114
380,114
381,114
382,112
383,112
384,111
385,110
386,107
387,103
388,101
389,100
390,100
391,100
392,99
393,98
394,98
395,102
396,104
397,106
398,106
399,105
400,103
401,103
402,105
403,106
404,107
405,108
406,109
407,109
408,111
409,113
410,114
411,111
412,110
413,106
414,106
415,108
416,109
417,111
418,126
419,125
420,126
421,130
422,127
423,120
424,110
425,108
426,108
427,108
428,108
429,107
430,101
431,98
432,96
433,90
434,89
435,84
436,80
437,79
438,77
439,68
440,63
441,63
442,64
443,65
444,64
445,64
446,63
447,64
448,63
449,63
450,62
451,62
452,62
453,61
454,60
455,64
456,71
457,71
458,70
459,71
460,71
461,72
462,78
463,82
464,88
465,93
466,89
467,92
468,100
469,101
470,102
471,103
472,104
473,105
474,105
475,106
476,106
477,105
478,105
479,105
480,105
481,104
482,104
483,104
484,104
485,104
486,103
487,104
488,106
489,106
490,106
491,105
492,105
493,104
494,103
495,103
496,102
497,101
498,100
499,98
500,96
501,96
502,95
503,94
504,94
505,93
506,93
507,91
508,90
509,84
510,78
511,78
512,78
513,78
514,78
515,78
516,77
517,78
518,79
519,79
520,81
521,81
522,81
523,82
524,82
525,82
526,78
527,77
528,71
529,67
530,63
531,54
532,52
533,50
534,50
535,50
536,50
537,50
538,51
539,52
540,53
541,54
542,61
543,63
544,56
545,54
546,58
547,69
548,66
549,55
550,56
551,56
552,56
553,57
554,58
555,60
556,62
557,62
558,63
559,63
560,64
561,64
562,64
563,63
564,63
565,73
566,75
567,75
568,76
569,76
570,76
571,77
572,77
573,77
574,77
575,78
576,75
577,74
578,63
579,59
580,58
581,56
582,56
583,56
584,55
585,55
586,55
587,55
588,55
589,55
590,55
591,67
592,71
593,71
594,74
595,77
596,81
597,83
598,85
599,87
600,90
601,91
602,94
603,95
604,97
605,99
606,99
607,102
608,101
609,100
610,100
611,99
612,99
613,99
614,98
615,96
616,103
617,101
618,101
619,101
620,101
621,102
622,101
623,102
624,101
625,100
626,99
627,100
628,101
629,102
630,102
631,104
632,105
633,106
634,108
635,110
636,111
637,112
638,113
639,115
640,118
641,118
642,118
643,121
644,128
645,137
646,138
647,138
648,137
649,138
650,138
651,139
652,139
653,139
654,139
655,139
656,139
657,139
658,140
659,140
660,141
661,141
662,141
663,142
664,141
665,137
666,136
667,135
668,135
669,131
670,123
671,124
672,123
673,125
674,127
675,129
676,125
677,126
678,126
679,123
680,123
681,122
682,122
683,122
684,121
685,122
686,122
687,122
688,122
689,122
690,123
691,124
692,125
693,125
694,124
695,122
696,120
697,119
698,118
699,117
700,117
701,116
702,116
703,115
704,115
705,115
706,114
707,113
708,112
709,111
710,108
711,103
712,103
713,103
714,103
715,103
716,103
717,105
718,102
719,101
720,97
721,92
722,85
723,81
724,80
725,73
726,68
727,66
728,63
729,62
730,60
731,59
732,56
733,51
734,48
735,44
736,44
737,44
738,45
739,46
740,43
741,42
742,43
743,44
744,44
745,44
746,45
747,45
748,44
749,45
750,44
751,41
752,40
753,37
754,37
755,36
756,36
757,36
758,33
759,32
760,31
761,31
762,30
763,29
764,29
765,30
766,31
767,32
768,32
769,32
770,31
771,32
772,32
773,32
774,34
775,36
776,38
777,42
778,42
779,40
780,40
781,36
782,35
783,35
784,35
785,34
786,34
787,33
788,33
789,33
790,33
791,33
792,31
793,30
794,26
795,25
796,24
797,24
798,24
799,26
800,27
801,26
802,27
803,28
804,30
805,34
806,35
807,37
808,38
809,39
810,40
811,40
812,41
813,41
814,40
815,39
816,39
817,38
818,37
819,36
820,35
821,35
822,35
823,35
824,35
825,35
826,35
827,36
828,36
829,37
830,37
831,38
832,39
833,41
834,38
835,34
836,27
837,12
838,10
839,3
840,4
841,8
842,9
843,9
844,16
845,22
846,29
847,31
848,33
849,33
850,32
851,32
852,32
853,33
854,34
855,33
856,32
857,33
858,33
859,35
860,36
861,40
862,43
863,44
864,47
865,49
866,49
867,50
868,52
869,54
870,55
871,55
872,55
873,55
874,54
875,53
876,53
877,53
878,53
879,53
880,53
881,53
882,53
883,53
884,53
885,53
886,53
887,54
888,54
889,55
890,55
891,56
892,56
893,57
894,57
895,57
896,60
897,60
898,60
899,61
900,61
901,61
902,61
903,60
904,60
905,60
906,60
907,60
908,59
909,58
910,59
911,58
912,58
913,58
914,57
915,55
916,54
917,52
918,51
919,54
920,55
921,61
922,67
923,70
924,76
925,78
926,80
927,82
928,83
929,83
930,83
931,83
932,82
933,81
934,81
935,79
936,79
937,79
938,81
939,83
940,91
941,97
942,98
943,98
944,98
945,98
946,99
947,99
948,99
949,100
950,99
951,99
952,100
953,99
954,100
955,100
956,101
957,104
958,105
959,106
960,106
961,105
962,105
963,104
964,104
965,104
966,106
967,106
968,108
969,109
970,109
971,111
972,112
973,109
974,105
975,104
976,106
977,107
978,108
979,109
980,112
981,109
982,112
983,112
984,109
985,108
986,107
987,107
988,108
989,108
990,107
991,105
992,104
993,102
994,100
995,99
996,99
997,98
998,98
999,97
1000,93
1001,90
1002,89
1003,88
1004,88
1005,86
1006,86
1007,85
1008,81
1009,80
1010,64
1011,61
1012,61
1013,59
1014,58
1015,56
1016,55
1017,54
1018,49
1019,48
1020,42
1021,38
1022,35
1023,35
1024,32
1025,32
1026,29
1027,26
1028,26
1029,26
1030,24
1031,25
1032,25
1033,24
1034,25
1035,25
1036,26
1037,26
1038,27
1039,28
1040,28
1041,30
1042,31
1043,33
1044,34
1045,36
1046,37
1047,40
1048,44
1049,45
1050,48
1051,52
1052,56
1053,58
1054,61
1055,65
1056,68
1057,70
1058,71
1059,73
1060,74
1061,75
1062,78
1063,78
1064,79
1065,81
1066,81
1067,83
1068,84
1069,84
1070,84
1071,84
1072,84
1073,84
1074,83
1075,83
1076,83
1077,83
1078,83
1079,83
1080,82
1081,82
1082,81
1083,80
1084,80
1085,79
1086,78
1087,78
1088,77
1089,77
1090,78
1091,78
1092,80
1093,80
1094,81
1095,80
1096,80
1097,77
1098,74
1099,72
1100,70
1101,69
1102,68
1103,67
1104,65
1105,65
1106,69
1107,79
1108,79
1109,79
1110,80
1111,80
1112,80
1113,81
1114,81
1115,81
1116,81
1117,80
1118,80
1119,79
1120,78
1121,76
1122,75
1123,73
1124,72
1125,70
1126,69
1127,68
1128,67
1129,67
1130,67
1131,66
1132,66
1133,66
1134,62
1135,59
1136,59
1137,59
1138,59
1139,59
1140,59
1141,58
1142,56
1143,54
1144,53
1145,52
1146,52
1147,53
1148,53
1149,53
1150,53
1151,54
1152,56
1153,56
1154,58
1155,58
1156,57
1157,56
1158,57
1159,57
1160,57
1161,57
1162,57
1163,57
1164,56
1165,56
1166,61
1167,64
1168,66
1169,69
1170,71
1171,73
1172,74
1173,75
1174,73
1175,74
1176,74
1177,73
1178,73
1179,74
1180,73
1181,73
1182,74
1183,74
1184,75
1185,76
1186,76
1187,76
1188,76
1189,77
1190,78
1191,77
1192,77
1193,74
1194,75
1195,77
1196,79
1197,82
1198,89
1199,90
1200,92
1201,93
1202,94
1203,95
1204,95
1205,96
1206,96
1207,95
1208,95
1209,94
1210,94
1211,94
1212,94
1213,94
1214,94
1215,94
1216,96
1217,98
1218,92
1219,93
1220,94
1221,94
1222,93
1223,91
1224,90
1225,84
1226,84
1227,84
1228,82
1229,81
1230,80
1231,78
1232,78
1233,75
1234,74
1235,73
1236,70
1237,69
1238,67
1239,67
1240,65
1241,63
1242,59
1243,63
1244,63
1245,65
1246,65
1247,67
1248,68
1249,70
1250,72
1251,78
1252,80
1253,81
1254,82
1255,83
1256,84
1257,83
1258,84
1259,85
1260,85
1261,85
1262,86
1263,85
1264,85
1265,85
1266,87
1267,88
1268,90
1269,87
1270,81
1271,76
1272,73
1273,68
1274,65
1275,65
1276,64
1277,64
1278,65
1279,65
1280,62
1281,60
1282,59
1283,55
1284,53
1285,53
1286,53
1287,53
1288,53
1289,53
1290,56
1291,58
1292,56
1293,54
1294,54
1295,54
1296,54
1297,54
1298,54
1299,55
1300,56
1301,57
1302,59
1303,58
1304,58
1305,57
1306,55
1307,53
1308,52
1309,52
1310,51
1311,51
1312,52
1313,52
1314,53
1315,54
1316,53
1317,54
1318,55
1319,54
1320,51
1321,50
1322,49
1323,50
1324,50
1325,49
1326,50
1327,51
1328,51
1329,52
1330,52
1331,52
1332,53
1333,53
1334,54
1335,55
1336,56
1337,58
1338,60
1339,63
1340,64
1341,65
1342,65
1343,66
1344,66
1345,67
1346,67
1347,67
1348,64
1349,62
1350,61
1351,60
1352,60
1353,60
1354,59
1355,59
1356,59
1357,60
1358,61
1359,62
1360,63
1361,62
1362,58
1363,57
1364,56
1365,56
1366,54
1367,53
1368,50
1369,45
1370,44
1371,43
1372,45
1373,44
1374,44
1375,43
1376,43
1377,42
1378,43
1379,44
1380,44
1381,45
1382,46
1383,48
1384,48
1385,49
1386,50
1387,51
1388,65
1389,65
1390,67
1391,67
1392,67
1393,66
1394,65
1395,64
1396,63
1397,62
1398,62
1399,61
1400,51
1401,46
1402,46
1403,45
1404,45
1405,46
1406,45
1407,46
1408,46
1409,46
1410,46
1411,46
1412,43
1413,44
1414,45
1415,37
1416,32
1417,33
1418,33
1419,34
1420,34
1421,34
1422,29
1423,27
1424,24
1425,23
1426,20
1427,20
1428,21
1429,23
1430,24
1431,26
1432,29
1433,29
1434,32
1435,35
1436,37
1437,40
1438,45
1439,52
1440,53
1441,59
1442,65
1443,70
1444,74
1445,77
1446,80
1447,83
1448,86
1449,87
1450,89
1451,91
1452,91
1453,91
1454,98
1455,102
1456,105
1457,107
1458,107
1459,108
1460,107
1461,100
1462,99
1463,99
1464,98
1465,101
1466,100
1467,101
1468,98
1469,97
1470,97
1471,92
1472,93
1473,89
1474,85
1475,84
1476,80
1477,77
1478,73
1479,72
1480,69
1481,61
1482,55
1483,49
1484,37
1485,41
1486,46
1487,49
1488,50
1489,49
1490,47
1491,46
1492,46
1493,44
1494,43
1495,43
1496,41
1497,41
1498,41
1499,41
1500,40
1501,41
1502,40
1503,40
1504,40
1505,41
1506,41
1507,41
1508,41
1509,41
1510,42
1511,41
1512,41
1513,41
1514,42
1515,50
1516,51
1517,51
1518,52
1519,53
1520,53
1521,51
1522,51
1523,50
1524,54
1525,71
1526,80
1527,81
1528,79
1529,79
1530,78
1531,78
1532,77
1533,77
1534,76
1535,76
1536,74
1537,73
1538,79
1539,80
1540,86
1541,90
1542,90
1543,90
1544,90
1545,90
1546,91
1547,92
1548,92
1549,93
1550,95
1551,96
1552,98
1553,106
1554,110
1555,110
1556,111
1557,111
1558,112
1559,112
1560,113
1561,113
1562,114
1563,114
1564,113
1565,113
1566,113
1567,113
1568,112
1569,112
1570,111
1571,110
1572,109
1573,108
1574,108
1575,107
1576,107
1577,107
1578,104
1579,103
1580,102
1581,101
1582,101
1583,101
1584,101
1585,101
1586,100
1587,98
1588,97
1589,97
1590,96
1591,96
1592,96
1593,96
1594,96
1595,96
1596,95
1597,95
1598,96
1599,95
1600,94
1601,94
1602,93
1603,93
1604,93
1605,92
1606,92
1607,90
1608,88
1609,85
1610,84
1611,81
1612,81
1613,80
1614,79
1615,78
1616,78
1617,74
1618,72
1619,72
1620,72
1621,71
1622,71
1623,71
1624,70
1625,70
1626,69
1627,69
1628,67
1629,64
1630,60
1631,59
1632,59
1633,58
1634,58
1635,55
1636,53
1637,52
1638,43
1639,44
1640,44
1641,44
1642,45
1643,47
1644,48
1645,48
1646,47
1647,47
1648,47
1649,47
1650,46
1651,46
1652,46
1653,46
1654,46
1655,45
1656,45
1657,44
1658,44
1659,44
1660,43
1661,42
1662,42
1663,42
1664,41
1665,40
1666,39
1667,39
1668,37
1669,36
1670,35
1671,33
1672,32
1673,32
1674,31
1675,30
1676,30
1677,30
1678,30
1679,29
1680,26
1681,23
1682,22
1683,18
1684,17
1685,15
1686,14
1687,11
1688,11
1689,8
1690,6
1691,5
1692,6
1693,10
1694,16
1695,18
1696,20
1697,21
1698,22
1699,23
1700,25
1701,26
1702,27
1703,27
1704,28
1705,28
1706,28
1707,29
1708,28
1709,28
1710,29
1711,31
1712,31
1713,34
1714,30
1715,30
1716,29
1717,29
1718,30
1719,30
1720,23
1721,16
1722,17
1723,17
1724,17
1725,18
1726,18
1727,19
1728,19
1729,21
1730,21
1731,22
1732,23
1733,24
1734,25
1735,27
1736,29
1737,29
1738,29
1739,30
1740,30
1741,28
1742,30
1743,33
1744,35
1745,36
1746,37
1747,37
1748,37
1749,37
1750,37
1751,36
1752,36
1753,36
1754,38
1755,38
1756,38
1757,43
1758,43
1759,43
1760,44
1761,44
1762,44
1763,43
1764,43
1765,43
1766,40
1767,39
1768,39
1769,40
1770,51
1771,49
1772,48
1773,48
1774,48
1775,48
1776,48
1777,48
1778,48
1779,48
1780,48
1781,49
1782,49
1783,49
1784,49
1785,48
1786,47
1787,43
1788,43
1789,40
1790,33
1791,36
1792,40
1793,40
1794,41
1795,42
1796,42
1797,43
1798,43
1799,43
1800,42
1801,41
1802,39
1803,35
1804,33
1805,32
1806,32
1807,32
1808,33
1809,32
1810,32
1811,31
1812,31
1813,32
1814,32
1815,32
1816,35
1817,40
1818,42
1819,43
1820,44
1821,45
1822,45
1823,47
1824,49
1825,53
1826,55
1827,64
1828,64
1829,64
1830,65
1831,68
1832,71
1833,71
1834,70
1835,71
1836,71
1837,71
1838,71
1839,70
1840,70
1841,70
1842,69
1843,68
1844,68
1845,69
1846,70
1847,70
1848,80
1849,83
1850,85
1851,87
1852,89
1853,90
1854,90
1855,91
1856,92
1857,92
1858,93
1859,93
1860,93
1861,93
1862,93
1863,92
1864,91
1865,84
1866,83
1867,84
1868,83
1869,83
1870,84
1871,85
1872,87
1873,89
1874,91
1875,93
1876,94
1877,95
1878,95
1879,97
1880,98
1881,98
1882,98
1883,97
1884,95
1885,95
1886,94
1887,94
1888,94
1889,93
1890,92
1891,91
1892,91
1893,90
1894,89
1895,87
1896,80
1897,75
1898,74
1899,72
1900,64
1901,62
1902,61
1903,66
1904,68
1905,72
1906,71
1907,73
1908,74
1909,74
1910,74
1911,74
1912,74
1913,74
1914,74
1915,73
1916,72
1917,70
1918,65
1919,65
1920,63
1921,62
1922,62
1923,64
1924,66
1925,66
1926,66
1927,66
1928,66
1929,65
1930,64
1931,61
1932,59
1933,56
1934,54
1935,48
1936,47
1937,46
1938,46
1939,46
1940,46
1941,47
1942,50
1943,38
1944,30
1945,21
1946,20
1947,20
1948,20
1949,20
1950,19
1951,21
