spaltenindex,dicke_pixel
0,182
1,182
2,183
3,184
4,183
5,175
6,172
7,170
8,165
9,162
10,162
11,161
12,158
13,155
14,145
15,137
16,130
17,128
18,128
19,125
20,125
21,125
22,126
23,126
24,126
25,124
26,121
27,122
28,121
29,121
30,120
31,119
32,118
33,118
34,117
35,116
36,114
37,113
38,112
39,113
40,113
41,111
42,108
43,104
44,99
45,95
46,95
47,94
48,94
49,94
50,94
51,94
52,93
53,92
54,92
55,91
56,91
57,90
58,90
59,90
60,90
61,89
62,90
63,90
64,90
65,93
66,94
67,98
68,102
69,100
70,101
71,98
72,101
73,104
74,104
75,105
76,103
77,103
78,100
79,98
80,96
81,94
82,93
83,87
84,82
85,80
86,78
87,78
88,77
89,75
90,75
91,74
92,74
93,75
94,76
95,75
96,76
97,77
98,76
99,76
100,75
101,75
102,74
103,72
104,69
105,68
106,67
107,67
108,66
109,64
110,63
111,62
112,61
113,60
114,59
115,60
116,58
117,58
118,56
119,56
120,56
121,55
122,55
123,54
124,54
125,56
126,59
127,62
128,66
129,66
130,66
131,66
132,67
133,67
134,67
135,68
136,72
137,75
138,73
139,73
140,81
141,80
142,87
143,88
144,84
145,86
146,89
147,91
148,89
149,89
150,83
151,80
152,79
153,79
154,77
155,74
156,68
157,65
158,66
159,66
160,68
161,67
162,67
163,67
164,68
165,68
166,68
167,67
168,59
169,55
170,52
171,50
172,48
173,47
174,46
175,46
176,46
177,46
178,46
179,46
180,46
181,45
182,46
183,45
184,46
185,47
186,48
187,49
188,50
189,52
190,54
191,55
192,57
193,58
194,59
195,60
196,58
197,58
198,59
199,61
200,61
201,62
202,61
203,61
204,60
205,60
206,58
207,53
208,52
209,52
210,51
211,51
212,51
213,49
214,44
215,44
216,43
217,43
218,43
219,39
220,39
221,39
222,39
223,39
224,39
225,39
226,39
227,37
228,37
229,36
230,36
231,35
232,33
233,33
234,32
235,30
236,28
237,27
238,27
239,25
240,24
241,23
242,22
243,32
244,33
245,35
246,38
247,38
248,39
249,39
250,40
251,40
252,41
253,43
254,43
255,44
256,46
257,47
258,48
259,51
260,52
261,53
262,54
263,57
264,59
265,60
266,59
267,59
268,59
269,58
270,58
271,59
272,61
273,62
274,61
275,61
276,61
277,61
278,60
279,60
280,60
281,61
282,62
283,61
284,62
285,62
286,63
287,62
288,60
289,57
290,56
291,53
292,52
293,51
294,50
295,48
296,48
297,47
298,47
299,46
300,44
301,45
302,43
303,40
304,39
305,39
306,38
307,38
308,38
309,38
310,40
311,38
312,38
313,37
314,37
315,36
316,35
317,34
318,33
319,31
320,31
321,29
322,29
323,28
324,28
325,27
326,24
327,25
328,24
329,28
330,32
331,37
332,43
333,44
334,45
335,48
336,50
337,52
338,54
339,55
340,56
341,57
342,60
343,61
344,63
345,70
346,72
347,76
348,78
349,82
350,85
351,87
352,88
353,90
354,90
355,91
356,91
357,90
358,90
359,91
360,90
361,86
362,87
363,90
364,92
365,95
366,99
367,100
368,102
369,101
370,102
371,104
372,107
373,114
374,115
375,116
376,116
377,116
378,117
379,117
380,117
381,117
382,117
383,117
384,117
385,116
386,116
387,116
388,117
389,116
390,115
391,115
392,113
393,113
394,112
395,110
396,109
397,107
398,106
399,104
400,104
401,103
402,101
403,100
404,96
405,93
406,93
407,91
408,89
409,82
410,81
411,80
412,80
413,80
414,79
415,79
416,80
417,85
418,86
419,87
420,87
421,88
422,87
423,87
424,84
425,84
426,83
427,84
428,82
429,82
430,82
431,82
432,82
433,79
434,79
435,78
436,77
437,78
438,78
439,77
440,78
441,78
442,79
443,78
444,79
445,79
446,82
447,86
448,90
449,90
450,92
451,97
452,100
453,101
454,101
455,102
456,102
457,101
458,101
459,102
460,102
461,102
462,103
463,104
464,106
465,106
466,106
467,106
468,106
469,105
470,105
471,104
472,105
473,105
474,106
475,107
476,110
477,113
478,114
479,115
480,118
481,119
482,121
483,123
484,124
485,126
486,127
487,128
488,129
489,130
490,131
491,128
492,127
493,127
494,126
495,125
496,125
497,123
498,121
499,120
500,121
501,120
502,120
503,119
504,116
505,114
506,114
507,114
508,113
509,112
510,107
511,106
512,106
513,104
514,103
515,100
516,100
517,98
518,97
519,98
520,99
521,101
522,102
523,101
524,101
525,100
526,92
527,89
528,87
529,86
530,86
531,88
532,90
533,90
534,89
535,89
536,87
537,85
538,84
539,81
540,80
541,80
542,79
543,79
544,79
545,79
546,79
547,79
548,78
549,75
550,74
551,73
552,71
553,71
554,71
555,70
556,71
557,72
558,73
559,75
560,74
561,76
562,77
563,78
564,75
565,74
566,73
567,75
568,80
569,82
570,78
571,76
572,73
573,72
574,74
575,78
576,82
577,83
578,82
579,74
580,73
581,72
582,73
583,73
584,72
585,71
586,67
587,66
588,62
589,61
590,63
591,63
592,64
593,64
594,65
595,69
596,75
597,79
598,85
599,93
600,98
601,100
602,100
603,101
604,102
605,103
606,103
607,102
608,103
609,102
610,102
611,102
612,102
613,102
614,102
615,102
616,102
617,103
618,103
619,106
620,105
621,104
622,103
623,101
624,101
625,100
626,101
627,101
628,102
629,103
630,105
631,107
632,108
633,108
634,109
635,110
636,111
637,115
638,116
639,119
640,119
641,117
642,116
643,116
644,116
645,116
646,116
647,117
648,118
649,119
650,120
651,122
652,122
653,124
654,137
655,141
656,147
657,152
658,157
659,159
660,162
661,165
662,167
663,170
664,170
665,171
666,174
667,174
668,168
669,168
670,165
671,165
672,166
673,166
674,166
675,166
676,162
677,162
678,162
679,161
680,159
681,158
682,156
683,155
684,153
685,152
686,148
687,147
688,143
689,140
690,138
691,134
692,132
693,129
694,126
695,124
696,124
697,123
698,121
699,116
700,114
701,114
702,114
703,114
704,116
705,115
706,117
707,114
708,115
709,113
710,109
711,107
712,107
713,98
714,94
715,94
716,93
717,93
718,92
719,96
720,96
721,99
722,101
723,99
724,97
725,96
726,94
727,93
728,95
729,95
730,95
731,96
732,98
733,100
734,100
735,100
736,100
737,101
738,101
739,101
740,101
741,102
742,102
743,104
744,105
745,108
746,110
747,110
748,110
749,110
750,109
751,108
752,108
753,102
754,94
755,88
756,88
757,89
758,90
759,90
760,90
761,90
762,90
763,92
764,95
765,97
766,99
