name,MAE_px,faktor,MAE_umgerechnet
2181_1_3 (5)_thickness,5.441797,0.486049,2.644981
2181_2_1 (4)_thickness,17.903125,0.486049,8.701798
2181_3_1 (3)_thickness,10.909766,0.486049,5.302682
2181_3_2 (2)_thickness,5.565625,0.486049,2.705167
2181_3_2 (4)_thickness,29.580078,0.486049,14.377371
2181_3_3 (1)_thickness,14.534766,0.486049,7.06461
2303_01 (4)_thickness,5.227734,0.972098,5.08187
2303_02 (8)_thickness,3.423047,0.972098,3.327537
2303_04 (3)_thickness,4.173047,0.972098,4.056611
2303_05 (4)_thickness,4.712891,0.972098,4.581392
2303_06 (2)_thickness,3.667969,0.972098,3.565625
2303_06 (4)_thickness,4.492578,0.972098,4.367226
2303_08 (2)_thickness,5.023828,0.972098,4.883653
2303_08 (5)_thickness,17.390234,0.972098,16.905012
2303_10 (5)_thickness,3.648047,0.972098,3.546259
2303_12 (1)_thickness,3.639062,0.972098,3.537525
2303_12 (3)_thickness,4.361719,0.972098,4.240018
2303_14 (2)_thickness,5.53125,0.972098,5.376917
2303_14 (3)_thickness,4.061328,0.972098,3.948009
2303_14 (5)_thickness,5.673828,0.972098,5.515517
2303_18 (2)_thickness,2.828125,0.972098,2.749215
ALLE_DATEIEN,7.704278,,
