datei_stamm,W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError
2181_1_3 (5)_thickness,2560,2560,1.0,5.441797,-2.166016,8.973158,-2.513775,-1.818256,44.0
2181_2_1 (4)_thickness,2560,2560,1.0,17.903125,-10.564062,23.111175,-11.459748,-9.668377,80.0
2181_3_1 (3)_thickness,2560,2560,1.0,10.909766,-6.940234,18.172009,-7.6445,-6.235969,89.0
2181_3_2 (2)_thickness,2560,2560,1.0,5.565625,-4.814844,5.466879,-5.026715,-4.602972,35.0
2181_3_2 (4)_thickness,2560,2560,1.0,29.580078,-29.049609,30.524058,-30.232585,-27.866634,125.0
2181_3_3 (1)_thickness,2560,2560,1.0,14.534766,-11.961328,20.928554,-12.772425,-11.150231,96.0
2303_01 (4)_thickness,2560,2560,1.0,5.227734,1.410547,8.285298,1.089446,1.731648,65.0
2303_02 (8)_thickness,2560,2560,1.0,3.423047,-0.213672,6.075277,-0.449122,0.021779,102.0
2303_04 (3)_thickness,2560,2560,1.0,4.173047,-1.526172,8.257015,-1.846177,-1.206167,87.0
2303_05 (4)_thickness,2560,2560,1.0,4.712891,-3.855078,5.210431,-4.057011,-3.653145,35.0
2303_06 (2)_thickness,2560,2560,1.0,3.667969,-2.189062,5.155741,-2.388876,-1.989249,46.0
2303_06 (4)_thickness,2560,2560,1.0,4.492578,-4.210547,6.671535,-4.469106,-3.951988,63.0
2303_08 (2)_thickness,2560,2560,1.0,5.023828,-0.991016,11.37569,-1.431886,-0.550145,79.0
2303_08 (5)_thickness,2560,2560,1.0,17.390234,12.270703,26.200667,11.255283,13.286124,123.0
2303_10 (5)_thickness,2560,2560,1.0,3.648047,-2.511328,6.167636,-2.750358,-2.272298,42.0
2303_12 (1)_thickness,2560,2560,1.0,3.639062,-2.616406,6.151319,-2.854804,-2.378009,41.0
2303_12 (3)_thickness,2560,2560,1.0,4.361719,-0.839844,7.932707,-1.14728,-0.532408,48.0
2303_14 (2)_thickness,2560,2560,1.0,5.53125,3.13125,9.610099,2.758806,3.503694,64.0
2303_14 (3)_thickness,2560,2560,1.0,4.061328,0.875391,7.702744,0.576867,1.173914,39.0
2303_14 (5)_thickness,2560,2560,1.0,5.673828,-5.276172,6.768307,-5.538481,-5.013863,34.0
2303_18 (2)_thickness,2560,2560,1.0,2.828125,-1.719531,3.989466,-1.874145,-1.564917,26.0
ALLE_DATEIEN,53760,53760,1.0,7.704278,-3.51224,15.348686,-3.641987,-3.382492,125.0
