W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError,image,threshold
2560,2560,1.0,5.840625,4.34140625,8.273547420762327,4.020760616709591,4.66205188329041,59.0,2181_1_3 (5),0.45
2560,2560,1.0,12.759375,1.3359375,20.13990819760343,0.5554048832139312,2.116470116786069,77.0,2181_2_1 (4),0.45
2560,2560,1.0,8.329296875,5.402734375,11.126713080945683,4.971512822642985,5.833955927357014,56.0,2181_3_1 (3),0.45
2560,2560,1.0,3.55546875,0.453125,5.1022516464801475,0.2553845838047526,0.6508654161952474,27.0,2181_3_2 (2),0.45
2560,2560,1.0,16.34296875,-14.65390625,22.23515799911491,-15.515641362564518,-13.792171137435483,99.0,2181_3_2 (4),0.45
2560,2560,1.0,12.30703125,1.96015625,24.15352368706403,1.0240738774740037,2.8962386225259964,117.0,2181_3_3 (1),0.45
2559,2560,0.999609375,6.910902696365768,6.0652598671356,8.76016335031677,5.725688788651992,6.404830945619208,72.0,2303_01 (4),0.45
2559,2560,0.999609375,5.88589292692458,5.5654552559593595,8.249263388932324,5.245688243215949,5.88522226870277,51.0,2303_02 (8),0.45
2560,2560,1.0,5.730859375,4.794140625,7.281062926424958,4.5119592444700345,5.076322005529965,42.0,2303_04 (3),0.45
2560,2560,1.0,3.087890625,0.326953125,4.898713863092643,0.1371009214581345,0.5168053285418656,26.0,2303_05 (4),0.45
2560,2560,1.0,3.380078125,2.614453125,4.0780038463682855,2.4564079650003006,2.772498284999699,27.0,2303_06 (2),0.45
2560,2560,1.0,2.394140625,0.257421875,3.645558571402787,0.11613635654254742,0.39870739345745265,27.0,2303_06 (4),0.45
2560,2560,1.0,6.306640625,4.866796875,8.003994160556683,4.556597918501126,5.176995831498875,65.0,2303_08 (2),0.45
2560,2560,1.0,30.275,28.99296875,33.42623166672944,27.697517757068745,30.288419742931254,151.0,2303_08 (5),0.45
2560,2560,1.0,2.914453125,1.965234375,3.742487896347605,1.8201923101422273,2.1102764398577727,29.0,2303_10 (5),0.45
2560,2560,1.0,3.130859375,2.162890625,3.9416947679096808,2.010128194229109,2.315653055770891,23.0,2303_12 (1),0.45
2423,2560,0.946484375,4.9050763516302105,3.336772595955427,10.022171819400256,2.937517641925659,3.736027549985195,88.0,2303_12 (3),0.45
2560,2560,1.0,9.003125,8.73046875,12.090223919942481,8.261905833964207,9.199031666035793,66.0,2303_14 (2),0.45
2560,2560,1.0,4.9515625,4.62109375,8.895917214000528,4.276327851683625,4.965859648316375,53.0,2303_14 (3),0.45
2560,2560,1.0,3.27421875,-0.87109375,5.192408146449973,-1.0723282282411755,-0.6698592717588245,28.0,2303_14 (5),0.45
2560,2560,1.0,3.055859375,2.562890625,5.034848259349595,2.367762462128902,2.758018787871098,48.0,2303_18 (2),0.45
