spaltenindex,dicke_pixel
0,228
1,226
2,223
3,221
4,217
5,216
6,215
7,212
8,205
9,203
10,201
11,199
12,196
13,191
14,186
15,178
16,172
17,169
18,166
19,165
20,164
21,165
22,164
23,165
24,164
25,164
26,164
27,163
28,163
29,163
30,162
31,162
32,161
33,161
34,161
35,162
36,163
37,163
38,163
39,163
40,163
41,161
42,160
43,159
44,157
45,155
46,155
47,154
48,153
49,153
50,152
51,152
52,151
53,152
54,153
55,157
56,161
57,164
58,167
59,172
60,176
61,178
62,179
63,180
64,180
65,180
66,180
67,181
68,181
69,181
70,181
71,178
72,177
73,177
74,178
75,178
76,178
77,178
78,176
79,176
80,176
81,176
82,175
83,176
84,178
85,180
86,180
87,182
88,186
89,186
90,186
91,186
92,181
93,176
94,172
95,168
96,167
97,166
98,164
99,164
100,163
101,156
102,150
103,150
104,150
105,150
106,150
107,150
108,149
109,148
110,147
111,148
112,148
113,148
114,149
115,149
116,150
117,151
118,152
119,157
120,164
121,167
122,173
123,175
124,175
125,175
126,176
127,176
128,177
129,176
130,178
131,180
132,180
133,182
134,192
135,191
136,191
137,191
138,191
139,191
140,191
141,191
142,191
143,191
144,191
145,192
146,192
147,193
148,200
149,202
150,204
151,203
152,203
153,203
154,205
155,205
156,207
157,208
158,208
159,210
160,210
161,216
162,221
163,224
164,227
165,229
166,229
167,229
168,227
169,218
170,218
171,219
172,219
173,220
174,221
175,222
176,223
177,224
178,224
179,223
180,224
181,232
182,245
183,251
184,257
185,262
186,270
187,273
188,277
189,279
190,281
191,282
192,282
193,282
194,283
195,284
196,285
197,286
198,286
199,288
200,287
201,282
202,280
203,280
204,281
205,281
206,281
207,282
208,282
209,283
210,283
211,283
212,282
213,282
214,282
215,282
216,280
217,280
218,280
219,280
220,283
221,285
222,286
223,286
224,288
225,288
226,289
227,289
228,288
229,285
230,285
231,284
232,284
233,285
234,285
235,287
236,288
237,290
238,292
239,294
240,296
241,297
242,298
243,299
244,300
245,301
246,301
247,301
248,300
249,299
250,297
251,295
252,293
253,292
254,291
255,291
256,290
257,290
258,289
259,284
260,281
261,279
262,277
263,274
264,273
265,265
266,258
267,254
268,250
269,245
270,244
271,239
272,236
273,235
274,232
275,229
276,226
277,222
278,213
279,206
280,206
281,205
282,204
283,203
284,202
285,202
286,202
287,201
288,201
289,201
290,200
291,201
292,201
293,201
294,200
295,200
296,201
297,200
298,200
299,200
300,200
301,200
302,201
303,200
304,201
305,201
306,201
307,202
308,201
309,202
310,202
311,202
312,202
313,202
314,202
315,202
316,203
317,202
318,203
319,203
320,204
321,203
322,204
323,204
324,205
325,204
326,205
327,205
328,205
329,205
330,204
331,204
332,205
333,204
334,204
335,205
336,206
337,205
338,206
339,205
340,206
341,206
342,205
343,206
344,205
345,204
346,204
347,203
348,204
349,203
350,203
351,202
352,202
353,202
354,200
355,200
356,201
357,200
358,201
359,200
360,201
361,201
362,201
363,201
364,201
365,202
366,201
367,201
368,201
369,199
370,199
371,197
372,197
373,196
374,196
375,194
376,203
377,204
378,206
379,209
380,212
381,213
382,216
383,217
384,219
385,218
386,221
387,228
388,232
389,230
390,229
391,228
392,228
393,226
394,226
395,225
396,225
397,223
398,222
399,221
400,222
401,220
402,219
403,213
404,208
405,205
406,202
407,201
408,198
409,195
410,193
411,189
412,186
413,184
414,182
415,179
416,170
417,168
418,165
419,161
420,161
421,159
422,158
423,155
424,154
425,146
426,146
427,144
428,143
429,143
430,142
431,142
432,141
433,140
434,139
435,137
436,137
437,137
438,139
439,140
440,140
441,140
442,141
443,141
444,141
445,141
446,141
447,143
448,142
449,140
450,140
451,141
452,145
453,144
454,143
455,142
456,140
457,133
458,127
459,123
460,122
461,122
462,122
463,120
464,119
465,119
466,118
467,118
468,117
469,116
470,116
471,116
472,116
473,117
474,117
475,118
476,122
477,121
478,122
479,122
480,123
481,124
482,124
483,125
484,127
485,127
486,129
487,130
488,132
489,132
490,133
491,134
492,134
493,135
494,136
495,137
496,138
497,140
498,145
499,146
500,147
501,147
502,147
503,147
504,147
505,146
506,145
507,145
508,145
509,144
510,144
511,144
512,144
513,144
514,145
515,145
516,147
517,148
518,148
519,149
520,150
521,149
522,151
523,152
524,153
525,153
526,153
527,154
528,155
529,160
530,161
531,161
532,160
533,160
534,160
535,155
536,145
537,145
538,145
539,146
540,146
541,144
542,143
543,142
544,140
545,136
546,135
547,132
548,130
549,129
550,127
551,126
552,125
553,124
554,123
555,122
556,122
557,121
558,125
559,124
560,123
561,125
562,127
563,126
564,126
565,126
566,127
567,129
568,138
569,142
570,145
571,147
572,149
573,151
574,152
575,153
576,154
577,154
578,155
579,157
580,164
581,170
582,170
583,173
584,172
585,178
586,179
587,180
588,181
589,182
590,183
591,184
592,187
593,199
594,202
595,203
596,204
597,204
598,204
599,204
600,204
601,204
602,205
603,206
604,209
605,211
606,209
607,205
608,202
609,198
610,195
611,193
612,195
613,192
614,193
615,192
616,191
617,191
618,192
619,192
620,192
621,194
622,197
623,199
624,205
625,209
626,210
627,211
628,210
629,210
630,207
631,205
632,205
633,205
634,206
635,209
636,214
637,219
638,222
639,225
640,230
641,230
642,232
643,238
644,244
645,247
646,249
647,253
648,258
649,272
650,274
651,276
652,277
653,278
654,277
655,277
656,277
657,277
658,277
659,277
660,278
661,278
662,279
663,279
664,279
665,280
666,281
667,281
668,282
669,283
670,283
671,284
672,284
673,285
674,285
675,285
676,285
677,285
