spaltenindex,dicke_pixel
0,118
1,127
2,128
3,128
4,127
5,127
6,127
7,127
8,127
9,127
10,127
11,127
12,128
13,128
14,128
15,128
16,127
17,128
18,128
19,129
20,129
21,130
22,130
23,130
24,131
25,131
26,131
27,129
28,129
29,129
30,129
31,129
32,129
33,129
34,130
35,130
36,129
37,127
38,128
39,127
40,127
41,128
42,127
43,127
44,125
45,124
46,124
47,122
48,121
49,120
50,117
51,112
52,114
53,113
54,109
55,106
56,104
57,104
58,104
59,103
60,102
61,99
62,95
63,93
64,92
65,90
66,90
67,90
68,89
69,88
70,88
71,88
72,87
73,87
74,85
75,83
76,81
77,80
78,78
79,77
80,74
81,72
82,71
83,69
84,66
85,66
86,65
87,64
88,64
89,62
90,62
91,60
92,57
93,55
94,48
95,46
96,45
97,43
98,42
99,40
100,40
101,38
102,38
103,39
104,41
105,42
106,42
107,43
108,42
109,41
110,39
111,38
112,33
113,32
114,32
115,33
116,33
117,34
118,35
119,36
120,36
121,37
122,39
123,43
124,44
125,45
126,49
127,51
128,51
129,51
130,51
131,51
132,52
133,52
134,52
135,52
136,52
137,52
138,52
139,52
140,51
141,51
142,49
143,49
144,49
145,49
146,50
147,50
148,51
149,52
150,52
151,52
152,52
153,51
154,50
155,49
156,49
157,48
158,48
159,45
160,45
161,47
162,47
163,56
164,57
165,67
166,68
167,69
168,69
169,68
170,68
171,68
172,68
173,69
174,75
175,76
176,81
177,81
178,81
179,81
180,83
181,82
182,82
183,82
184,83
185,83
186,85
187,86
188,86
189,87
190,87
191,86
192,83
193,81
194,80
195,79
196,79
197,78
198,77
199,78
200,77
201,77
202,76
203,76
204,76
205,75
206,75
207,73
208,73
209,72
210,71
211,70
212,69
213,68
214,68
215,68
216,68
217,68
218,68
219,68
220,68
221,69
222,69
223,69
224,69
225,69
226,69
227,68
228,67
229,67
230,66
231,66
232,66
233,65
234,64
235,63
236,63
237,62
238,61
239,61
240,61
241,60
242,60
243,61
244,61
245,62
246,63
247,63
248,61
249,62
250,62
251,62
252,63
253,63
254,62
255,62
256,61
257,60
258,60
259,61
260,61
261,62
262,62
263,65
264,67
265,67
266,67
267,67
268,66
269,66
270,66
271,66
272,65
273,65
274,65
275,65
276,65
277,65
278,65
279,65
280,63
281,63
282,64
283,67
284,68
285,68
286,71
287,72
288,75
289,77
290,81
291,82
292,85
293,85
294,89
295,89
296,91
297,94
298,96
299,98
300,105
301,111
302,114
303,116
304,113
305,114
306,115
307,115
308,111
309,108
310,108
311,108
312,105
313,105
314,105
315,107
316,107
317,109
318,110
319,111
320,111
321,111
322,112
323,112
324,113
325,114
326,114
327,115
328,115
329,113
330,114
331,112
332,111
333,110
334,109
335,109
336,109
337,104
338,102
339,103
340,103
341,101
342,96
343,95
344,94
345,94
346,93
347,91
348,90
349,91
350,98
351,104
352,108
353,108
354,108
355,108
356,109
357,109
358,110
359,110
360,106
361,106
362,108
363,110
364,110
365,111
366,111
367,112
368,112
369,112
370,112
371,112
372,112
373,112
374,110
375,110
376,110
377,107
378,106
379,106
380,104
381,103
382,99
383,99
384,98
385,97
386,97
387,96
388,92
389,81
390,81
391,81
392,81
393,80
394,79
395,77
396,77
397,78
398,79
399,79
400,71
401,71
402,73
403,74
404,77
405,79
406,80
407,81
408,83
409,86
410,92
411,93
412,95
413,96
414,97
415,98
416,99
417,100
418,100
419,100
420,101
421,96
422,92
423,88
424,88
425,87
426,87
427,88
428,87
429,83
430,81
431,84
432,85
433,86
434,86
435,92
436,96
437,100
438,102
439,104
440,108
441,117
442,121
443,124
444,125
445,127
446,126
447,126
448,125
449,125
450,128
451,128
452,130
453,130
454,130
455,131
456,130
457,130
458,129
459,130
460,130
461,129
462,129
463,128
464,128
465,127
466,127
467,127
468,126
469,125
470,125
471,123
472,122
473,121
474,118
475,116
476,109
477,104
478,101
479,100
480,93
481,91
482,91
483,90
484,86
485,86
486,85
487,85
488,87
489,88
490,92
491,96
492,99
493,104
494,108
495,109
496,108
497,107
498,107
499,104
500,99
501,98
502,95
503,95
504,93
505,89
506,87
507,87
508,84
509,83
510,80
511,80
512,83
513,83
514,82
515,77
516,80
517,81
518,81
519,83
520,89
521,91
522,91
523,92
524,92
525,92
526,93
527,93
528,95
529,97
530,98
531,98
532,98
533,93
534,91
535,89
536,88
537,83
538,88
539,90
540,90
541,90
542,90
543,89
544,93
545,96
546,96
547,96
548,96
549,96
550,98
551,102
552,102
553,101
554,101
555,101
556,101
557,102
558,103
559,105
560,106
561,106
562,106
563,107
564,107
565,104
566,89
567,88
568,86
569,89
570,84
571,84
572,81
573,77
574,78
575,81
576,81
