name,MAE_px,faktor,MAE_umgerechnet
2181_1_1 (4),15.878125,0.486049,7.717549
2181_1_2 (3),11.001953,0.486049,5.347489
2181_1_2 (5),18.216016,0.486049,8.853878
2181_2_2 (1),17.2,0.486049,8.360045
2181_2_2 (3),29.61875,0.486049,14.396167
2181_2_3 (1),10.941797,0.486049,5.318251
2181_3_1 (1),19.988672,0.486049,9.715476
2303_01 (6),5.6125,0.972098,5.4559
2303_01 (9),19.428516,0.972098,18.886422
2303_02 (2),3.818359,0.972098,3.711819
2303_02 (4),4.783594,0.972098,4.650122
2303_03 (2),4.246484,0.972098,4.127999
2303_04 (1),7.114062,0.972098,6.915565
2303_09 (4),9.128516,0.972098,8.873812
2303_11 (2),2.840234,0.972098,2.760986
2303_11 (4),5.008203,0.972098,4.868464
2303_13 (2),3.578516,0.972098,3.478668
2303_13 (4),7.786719,0.972098,7.569454
2303_15 (4),4.526172,0.972098,4.399883
2303_16 (4),6.170312,0.972098,5.998148
2303_17 (4),3.866016,0.972098,3.758146
ALLE_DATEIEN,10.035882,,
