datei_stamm,W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError
2181_1_1 (4),2560,2560,1.0,15.878125,-9.453906,29.098776,-10.581644,-8.326168,145.0
2181_1_2 (3),2560,2560,1.0,11.001953,-9.550391,13.691851,-10.081025,-9.019756,75.0
2181_1_2 (5),2560,2560,1.0,18.216016,-17.014453,24.934243,-17.980793,-16.048114,101.0
2181_2_2 (1),2560,2560,1.0,17.2,-16.749219,17.362253,-17.422102,-16.076336,86.0
2181_2_2 (3),2560,2560,1.0,29.61875,-25.128906,33.589699,-26.430692,-23.82712,113.0
2181_2_3 (1),2560,2560,1.0,10.941797,-7.737891,13.564446,-8.263588,-7.212193,54.0
2181_3_1 (1),2560,2560,1.0,19.988672,-17.372266,26.443258,-18.397088,-16.347443,134.0
2303_01 (6),2560,2560,1.0,5.6125,3.452344,7.58261,3.158476,3.746212,76.0
2303_01 (9),2560,2560,1.0,19.428516,15.216016,43.197745,13.541865,16.890167,191.0
2303_02 (2),2560,2560,1.0,3.818359,-3.283203,4.029089,-3.439353,-3.127054,27.0
2303_02 (4),2560,2560,1.0,4.783594,-4.264062,4.85352,-4.452163,-4.075962,39.0
2303_03 (2),2560,2560,1.0,4.246484,-3.288672,5.491465,-3.501496,-3.075847,34.0
2303_04 (1),2560,2560,1.0,7.114062,-2.31875,10.300485,-2.717951,-1.919549,50.0
2303_09 (4),2560,2560,1.0,9.128516,0.164453,22.588714,-0.710984,1.03989,150.0
2303_11 (2),2560,2560,1.0,2.840234,-2.198828,3.298477,-2.326662,-2.070994,21.0
2303_11 (4),2560,2560,1.0,5.008203,-3.961328,9.493898,-4.329269,-3.593387,64.0
2303_13 (2),2560,2560,1.0,3.578516,-1.851172,5.983313,-2.083058,-1.619285,62.0
2303_13 (4),2560,2560,1.0,7.786719,-6.996875,10.927914,-7.420392,-6.573358,90.0
2303_15 (4),2560,2560,1.0,4.526172,-2.882422,5.640722,-3.101031,-2.663813,32.0
2303_16 (4),2560,2560,1.0,6.170312,-3.022656,9.632089,-3.395953,-2.64936,67.0
2303_17 (4),2560,2560,1.0,3.866016,-2.657422,5.563466,-2.873037,-2.441807,48.0
ALLE_DATEIEN,53760,53760,1.0,10.035882,-5.757124,20.02579,-5.926409,-5.587839,191.0
