name,MAE_px,faktor,MAE_umgerechnet
2181_1_1 (4),180.613672,0.486049,87.787115
2181_1_2 (3),173.744922,0.486049,84.448565
2181_1_2 (5),165.012109,0.486049,80.203989
2181_2_2 (1),135.114453,0.486049,65.67226
2181_2_2 (3),148.225391,0.486049,72.044819
2181_2_3 (1),122.196484,0.486049,59.393492
2181_3_1 (1),144.875781,0.486049,70.416744
2303_01 (6),33.578125,0.972098,32.641228
2303_01 (9),41.885156,0.972098,40.716476
2303_02 (2),28.892188,0.972098,28.086038
2303_02 (4),11.114453,0.972098,10.804338
2303_03 (2),15.802734,0.972098,15.361806
2303_04 (1),42.640234,0.972098,41.450486
2303_09 (1),70.429688,0.972098,68.464559
2303_09 (4),46.165625,0.972098,44.877512
2303_11 (2),30.113281,0.972098,29.27306
2303_11 (4),16.314062,0.972098,15.858867
2303_13 (2),32.944141,0.972098,32.024934
2303_13 (4),22.391406,0.972098,21.766641
2303_15 (4),19.010938,0.972098,18.480495
2303_16 (4),69.155469,0.972098,67.225893
2303_17 (4),19.228906,0.972098,18.692381
ALLE_DATEIEN,71.338601,,
