datei_stamm,W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError
2181_1_1 (4),2560,2560,1.0,180.613672,-180.613672,58.321236,-182.873942,-178.353402,298.0
2181_1_2 (3),2560,2560,1.0,173.744922,-173.744922,43.223903,-175.420087,-172.069757,281.0
2181_1_2 (5),2560,2560,1.0,165.012109,-165.012109,41.80226,-166.632178,-163.392041,284.0
2181_2_2 (1),2560,2560,1.0,135.114453,-135.112109,48.619017,-136.996365,-133.227854,244.0
2181_2_2 (3),2560,2560,1.0,148.225391,-148.225391,66.817304,-150.81493,-145.635851,298.0
2181_2_3 (1),2560,2560,1.0,122.196484,-122.196484,58.193846,-124.451817,-119.941152,302.0
2181_3_1 (1),2560,2560,1.0,144.875781,-144.10625,62.917548,-146.544652,-141.667848,278.0
2303_01 (6),2560,2560,1.0,33.578125,-28.614844,36.939217,-30.046442,-27.183245,124.0
2303_01 (9),2560,2560,1.0,41.885156,-41.674219,30.329004,-42.849635,-40.498802,136.0
2303_02 (2),2560,2560,1.0,28.892188,-28.279688,32.363229,-29.533941,-27.025434,134.0
2303_02 (4),2560,2560,1.0,11.114453,-10.030078,11.618911,-10.480375,-9.579781,88.0
2303_03 (2),2560,2560,1.0,15.802734,-15.430078,15.626721,-16.0357,-14.824456,99.0
2303_04 (1),2560,2560,1.0,42.640234,-21.268359,48.28535,-23.139683,-19.397036,147.0
2303_09 (1),2560,2560,1.0,70.429688,-65.705469,42.626608,-67.357485,-64.053452,157.0
2303_09 (4),2560,2560,1.0,46.165625,12.932812,88.985275,9.484142,16.381483,297.0
2303_11 (2),2560,2560,1.0,30.113281,-30.090625,26.410761,-31.114188,-29.067062,105.0
2303_11 (4),2560,2560,1.0,16.314062,-16.178125,17.358559,-16.850865,-15.505385,86.0
2303_13 (2),2560,2560,1.0,32.944141,-31.685547,30.747747,-32.877192,-30.493902,120.0
2303_13 (4),2560,2560,1.0,22.391406,-22.346875,17.19163,-23.013146,-21.680604,80.0
2303_15 (4),2560,2560,1.0,19.010938,-18.11875,16.981243,-18.776867,-17.460633,77.0
2303_16 (4),2560,2560,1.0,69.155469,-69.126562,44.232109,-70.840801,-67.412324,157.0
2303_17 (4),2560,2560,1.0,19.228906,-9.945312,26.298497,-10.964524,-8.926101,113.0
ALLE_DATEIEN,56320,56320,1.0,71.338601,-66.571484,76.008655,-67.199238,-65.943731,302.0
