spaltenindex,dicke_pixel
0,122
1,122
2,122
3,125
4,131
5,137
6,142
7,145
8,147
9,148
10,152
11,155
12,163
13,163
14,163
15,165
16,167
17,169
18,173
19,172
20,171
21,171
22,170
23,170
24,170
25,170
26,170
27,171
28,173
29,174
30,175
31,175
32,176
33,176
34,176
35,174
36,173
37,173
38,173
39,173
40,174
41,175
42,175
43,175
44,175
45,180
46,180
47,180
48,179
49,173
50,173
51,171
52,171
53,171
54,172
55,173
56,172
57,172
58,172
59,172
60,172
61,172
62,171
63,157
64,153
65,152
66,143
67,134
68,121
69,117
70,116
71,115
72,113
73,112
74,110
75,106
76,105
77,104
78,103
79,103
80,101
81,100
82,100
83,99
84,98
85,98
86,98
87,101
88,104
89,113
90,113
91,113
92,111
93,111
94,116
95,120
96,122
97,123
98,125
99,127
100,128
101,128
102,128
103,127
104,127
105,127
106,126
107,125
108,124
109,125
110,125
111,125
112,125
113,126
114,127
115,127
116,127
117,128
118,129
119,129
120,130
121,132
122,132
123,133
124,134
125,134
126,134
127,135
128,135
129,135
130,136
131,135
132,132
133,127
134,122
135,122
136,125
137,126
138,126
139,128
140,128
141,128
142,128
143,128
144,128
145,128
146,128
147,127
148,122
149,118
150,119
151,119
152,120
153,119
154,120
155,120
156,120
157,121
158,122
159,126
160,131
161,137
162,139
163,143
164,149
165,149
166,151
167,153
168,154
169,156
170,157
171,160
172,161
173,161
174,163
175,163
176,164
177,165
178,165
179,166
180,166
181,167
182,167
183,167
184,168
185,169
186,169
187,170
188,171
189,173
190,172
191,173
192,169
193,168
194,169
195,169
196,171
197,174
198,174
199,172
200,172
201,172
202,172
203,172
204,172
205,172
206,172
207,172
208,171
209,171
210,171
211,170
212,170
213,170
214,170
215,172
216,172
217,175
218,176
219,177
220,178
221,179
222,186
223,186
224,186
225,186
226,186
227,185
228,186
229,186
230,187
231,187
232,187
233,188
234,189
235,189
236,190
237,190
238,189
239,189
240,190
241,189
242,190
243,189
244,183
245,179
246,175
247,167
248,167
249,163
250,161
251,160
252,159
253,159
254,158
255,158
256,155
257,154
258,153
259,151
260,150
261,148
262,147
263,144
264,142
265,137
266,131
267,131
268,130
269,130
270,130
271,130
272,130
273,130
274,131
275,132
276,133
277,136
278,139
279,140
280,141
281,141
282,142
283,142
284,144
285,143
286,143
287,144
288,144
289,145
290,145
291,149
292,152
293,153
294,156
295,158
296,159
297,158
298,158
299,158
300,158
301,158
302,158
303,158
304,158
305,161
306,161
307,159
308,157
309,155
310,152
311,150
312,148
313,144
314,141
315,139
316,138
317,138
318,136
319,132
320,127
321,122
322,120
323,115
324,110
325,107
326,106
327,104
328,104
329,103
330,103
331,103
332,103
333,104
334,105
335,107
336,108
337,110
338,111
339,110
340,104
341,102
342,98
343,96
344,93
345,92
346,91
347,90
348,90
349,88
350,87
351,86
352,84
353,83
354,79
355,77
356,75
357,75
358,74
359,73
360,73
361,73
362,72
363,69
364,67
365,64
366,63
367,61
368,61
369,61
370,62
371,63
372,64
373,63
374,64
375,66
376,67
377,68
378,69
379,68
380,68
381,68
382,67
383,69
384,70
385,70
386,70
387,70
388,70
389,70
390,70
391,70
392,69
393,69
394,68
395,68
396,68
397,68
398,68
399,67
400,67
401,67
402,67
403,67
404,66
405,66
406,66
407,67
408,67
409,66
410,65
411,65
412,64
413,64
414,64
415,65
416,66
417,67
418,68
419,71
420,71
421,72
422,72
423,73
424,74
425,74
426,74
427,72
428,72
429,72
430,73
431,73
432,73
433,74
434,74
435,76
436,79
437,79
438,79
439,78
440,77
441,77
442,77
443,76
444,76
445,71
446,69
447,70
448,69
449,67
450,66
451,66
452,61
453,58
454,46
455,42
456,40
457,40
458,41
459,38
460,38
461,39
462,36
463,32
464,30
465,28
466,26
467,18
468,13
469,12
470,9
471,7
472,8
473,8
474,9
475,9
476,11
477,13
478,13
479,11
480,11
481,10
482,10
483,10
484,9
485,9
486,9
487,10
488,10
489,11
490,12
491,14
492,22
493,30
494,35
495,33
496,33
497,34
498,33
499,33
500,34
501,35
502,35
503,37
504,37
505,39
506,41
507,41
508,44
509,48
510,53
511,56
512,60
513,60
514,61
515,69
516,69
517,66
518,66
519,66
520,66
521,63
522,74
523,81
524,85
525,87
526,105
527,114
528,136
529,142
530,144
531,146
532,141
533,139
534,135
535,131
536,129
537,127
538,127
539,126
540,129
541,130
542,134
543,129
544,119
545,118
546,111
547,109
548,111
549,112
550,111
551,111
552,116
553,116
554,117
555,118
556,117
557,118
558,117
559,119
560,126
561,136
562,154
563,156
564,157
565,155
566,152
567,152
568,149
569,150
570,149
571,147
572,147
573,148
574,148
575,148
576,148
577,143
578,145
579,145
580,145
581,149
582,152
583,152
584,152
585,151
586,152
587,153
588,154
589,157
590,157
591,157
592,157
593,155
594,154
595,154
596,154
597,152
598,142
599,137
600,127
601,123
602,120
603,118
604,116
605,113
606,112
607,112
608,112
609,112
610,112
611,112
612,113
613,113
614,114
615,115
616,115
617,116
618,118
619,120
620,121
621,123
622,124
623,124
624,124
625,125
626,125
627,126
628,127
629,128
630,129
631,129
632,130
633,130
634,131
635,134
636,135
637,137
638,138
639,139
640,142
641,142
642,144
643,145
644,146
645,147
646,148
647,149
648,149
649,149
650,150
651,152
652,152
653,154
654,154
655,156
656,156
657,157
658,158
659,159
660,160
661,161
662,162
663,162
664,163
665,166
666,168
667,170
668,171
669,172
670,173
671,175
672,179
673,181
674,182
675,183
676,183
677,183
678,184
679,184
680,185
681,186
682,186
683,187
684,188
685,189
686,190
687,190
688,190
689,190
690,190
691,191
692,191
693,192
694,192
695,192
696,192
697,193
698,193
699,193
700,193
701,194
702,194
703,194
704,194
705,194
706,194
707,194
708,190
709,172
710,169
711,163
712,159
713,152
714,147
715,148
716,149
717,145
718,148
719,146
720,139
721,133
722,135
723,134
724,133
725,129
726,122
727,118
728,106
729,106
730,109
731,117
732,139
733,137
734,134
735,135
736,142
737,153
738,163
739,170
740,172
741,185
742,188
743,193
744,197
745,199
746,199
747,205
748,203
749,205
750,200
751,197
752,196
753,192
754,193
755,191
756,193
757,197
758,197
759,198
760,203
761,200
762,194
763,193
764,190
765,187
766,183
767,184
768,178
769,175
770,171
771,169
772,168
773,166
774,164
775,161
776,159
777,156
778,154
779,145
780,139
781,140
782,138
783,135
784,133
785,133
786,134
787,135
788,128
789,129
790,129
791,128
792,125
793,122
794,115
795,113
796,113
797,112
798,111
799,110
800,111
801,112
802,114
803,114
804,117
805,113
806,111
807,108
808,105
809,103
810,94
811,91
812,89
813,86
814,83
815,81
816,78
817,74
818,71
819,71
820,71
821,71
822,70
823,71
824,72
825,72
826,73
827,75
828,76
829,76
830,76
831,75
832,73
833,68
834,66
835,63
836,61
837,59
838,59
839,57
840,56
841,56
842,56
843,55
844,55
845,54
846,53
847,53
848,54
849,54
850,53
851,53
852,54
853,54
854,58
855,60
856,61
857,61
858,63
859,71
860,72
861,73
862,75
863,75
864,75
865,76
866,77
867,77
868,77
869,77
870,78
871,79
872,81
873,82
874,82
875,82
876,81
877,80
878,79
879,78
880,76
881,73
882,73
883,72
884,72
885,71
886,71
887,68
888,65
889,60
890,58
891,46
892,37
893,36
894,35
895,36
896,36
897,36
898,37
899,37
900,35
901,33
902,32
903,30
904,24
905,24
906,23
907,23
908,21
909,22
910,22
911,23
912,22
913,23
914,20
915,18
916,17
917,16
918,17
919,18
920,20
921,22
922,22
923,22
924,22
925,29
926,33
927,34
928,44
929,43
930,42
931,41
932,35
933,36
934,38
935,40
936,42
937,46
938,47
939,48
940,48
941,50
942,52
943,52
944,49
945,47
946,52
947,52
948,56
949,57
950,66
951,67
952,69
953,70
954,72
955,77
956,82
957,83
958,83
959,83
960,84
961,85
962,84
963,84
964,85
965,84
966,84
967,84
968,83
969,83
970,83
971,83
972,84
973,84
974,84
975,85
976,86
977,88
978,89
979,90
980,93
981,93
982,94
983,91
984,92
985,96
986,100
987,102
988,103
989,103
990,104
991,104
992,105
993,106
994,108
995,111
996,115
997,121
998,122
999,124
1000,124
1001,127
1002,129
1003,131
1004,132
1005,134
1006,136
1007,137
1008,138
1009,139
1010,144
1011,144
1012,143
1013,143
1014,143
1015,143
1016,144
1017,148
1018,149
1019,151
1020,154
1021,157
1022,160
1023,160
1024,161
1025,161
1026,161
1027,161
1028,162
1029,162
1030,161
1031,158
1032,154
1033,151
1034,150
1035,150
1036,152
1037,153
1038,154
1039,155
1040,156
1041,156
1042,157
1043,159
1044,164
1045,175
1046,179
1047,182
1048,183
1049,184
1050,185
1051,185
1052,186
1053,188
1054,192
1055,194
1056,198
1057,203
1058,208
1059,212
1060,215
1061,218
1062,222
1063,224
1064,227
1065,229
1066,233
1067,238
1068,237
1069,238
1070,233
1071,233
1072,233
1073,235
1074,234
1075,230
1076,217
1077,214
1078,208
1079,199
1080,195
1081,187
1082,183
1083,180
1084,178
1085,178
1086,178
1087,179
1088,180
1089,181
1090,184
1091,192
1092,194
1093,194
1094,195
1095,193
1096,193
1097,191
1098,189
1099,189
1100,191
1101,195
1102,196
1103,202
1104,204
1105,203
1106,202
1107,202
1108,202
1109,203
1110,203
1111,203
1112,203
1113,204
1114,204
1115,204
1116,204
1117,204
1118,207
1119,209
1120,209
1121,210
1122,211
1123,211
1124,211
1125,212
1126,212
1127,212
1128,213
1129,213
1130,214
1131,214
1132,215
1133,215
1134,215
1135,216
1136,216
1137,216
1138,216
1139,216
1140,216
1141,216
1142,216
1143,214
1144,212
1145,212
1146,211
1147,210
1148,209
1149,209
1150,208
1151,208
1152,205
1153,204
1154,204
1155,203
1156,201
1157,200
1158,197
1159,194
1160,193
1161,192
1162,190
1163,188
1164,188
1165,186
1166,186
1167,186
1168,186
1169,183
1170,182
1171,181
1172,181
1173,181
1174,180
1175,186
1176,189
1177,192
1178,194
1179,198
1180,202
1181,204
1182,208
1183,217
1184,217
1185,217
1186,217
1187,216
1188,216
1189,216
1190,216
1191,216
1192,217
1193,217
1194,217
1195,217
1196,218
1197,218
1198,219
1199,221
1200,221
1201,222
1202,223
1203,223
1204,223
1205,226
1206,227
1207,229
1208,229
1209,229
1210,230
1211,231
1212,231
1213,232
1214,233
1215,233
1216,233
1217,234
1218,233
1219,233
1220,234
1221,234
1222,235
1223,241
1224,246
1225,246
1226,247
1227,248
1228,249
1229,249
1230,250
1231,251
1232,252
1233,254
1234,255
1235,256
1236,257
1237,258
1238,258
1239,258
1240,259
1241,259
1242,258
1243,258
1244,257
1245,256
1246,255
1247,255
1248,255
1249,256
1250,257
1251,257
1252,258
1253,259
1254,259
1255,260
1256,259
1257,259
1258,258
1259,258
1260,258
1261,258
1262,259
1263,260
1264,258
1265,257
1266,253
1267,252
1268,251
1269,250
1270,249
1271,248
1272,248
1273,248
1274,246
1275,245
1276,237
1277,235
1278,233
1279,233
1280,229
1281,226
1282,226
1283,225
1284,224
1285,222
1286,221
1287,219
1288,220
1289,222
1290,220
1291,219
1292,218
1293,218
1294,217
1295,219
1296,218
1297,219
1298,221
1299,226
1300,232
1301,233
1302,233
1303,234
1304,234
1305,234
1306,234
1307,232
1308,232
1309,232
1310,231
1311,230
1312,229
1313,228
1314,227
1315,222
1316,222
1317,221
1318,220
1319,217
1320,209
1321,208
1322,208
1323,207
1324,206
1325,204
1326,203
1327,203
