spaltenindex,dicke_pixel
0,94
1,96
2,96
3,95
4,92
5,89
6,87
7,84
8,85
9,86
10,86
11,87
12,89
13,83
14,77
15,72
16,73
17,74
18,74
19,75
20,76
21,78
22,82
23,83
24,83
25,84
26,84
27,85
28,85
29,86
30,87
31,88
32,89
33,90
34,90
35,89
36,88
37,88
38,88
39,87
40,86
41,88
42,89
43,95
44,93
45,93
46,93
47,94
48,93
49,94
50,94
51,94
52,95
53,96
54,96
55,96
56,96
57,94
58,92
59,91
60,91
61,91
62,89
63,89
64,88
65,87
66,86
67,87
68,87
69,87
70,88
71,88
72,88
73,89
74,89
75,90
76,89
77,90
78,90
79,90
80,90
81,90
82,90
83,90
84,90
85,90
86,90
87,90
88,88
89,88
90,87
91,86
92,85
93,85
94,85
95,83
96,83
97,82
98,82
99,81
100,83
101,84
102,83
103,82
104,81
105,80
106,77
107,76
108,75
109,75
110,74
111,75
112,75
113,77
114,77
115,77
116,78
117,79
118,80
119,78
120,78
121,82
122,84
123,88
124,93
125,97
126,97
127,99
128,100
129,100
130,102
131,103
132,104
133,100
134,98
135,98
136,97
137,100
138,108
139,115
140,116
141,114
142,113
143,112
144,112
145,112
146,113
147,113
148,115
149,116
150,117
151,118
152,120
153,120
154,118
155,112
156,113
157,113
158,114
159,114
160,115
161,117
162,118
163,120
164,123
165,129
166,130
167,131
168,132
169,133
170,134
171,137
172,142
173,142
174,142
175,142
176,141
177,139
178,138
179,136
180,136
181,133
182,129
183,127
184,125
185,124
186,123
187,123
188,122
189,121
190,119
191,118
192,116
193,115
194,114
195,114
196,114
197,114
198,114
199,114
200,114
201,115
202,116
203,116
204,117
205,118
206,118
207,119
208,119
209,119
210,119
211,119
212,119
213,119
214,119
215,119
216,119
217,117
218,117
219,117
220,117
221,117
222,117
223,118
224,118
225,120
226,120
227,122
228,122
229,124
230,126
231,128
232,129
233,131
234,133
235,135
236,137
237,139
238,139
239,141
240,141
241,142
242,142
243,143
244,144
245,145
246,146
247,147
248,148
249,148
250,149
251,149
252,150
253,150
254,148
255,148
256,145
257,145
258,148
259,151
260,152
261,151
262,151
263,149
264,148
265,144
266,142
267,141
268,141
269,143
270,144
271,145
272,147
273,148
274,152
275,155
276,156
277,158
278,158
279,158
280,158
281,158
282,158
283,158
284,158
285,157
286,157
287,158
288,158
289,158
290,158
291,158
292,157
293,156
294,155
295,154
296,153
297,152
