name,MAE_px,faktor,MAE_umgerechnet
2181_1_1 (4),75.084766,0.486049,36.494884
2181_1_2 (3),70.321875,0.486049,34.179885
2181_1_2 (5),61.653125,0.486049,29.966447
2181_2_2 (1),52.942578,0.486049,25.732693
2181_2_2 (3),85.449609,0.486049,41.532706
2181_2_3 (1),39.179297,0.486049,19.043062
2181_3_1 (1),101.860156,0.486049,49.509038
2303_01 (6),21.813281,0.972098,21.204647
2303_01 (9),43.866016,0.972098,42.642066
2303_02 (2),20.460156,0.972098,19.889277
2303_02 (4),31.979297,0.972098,31.087011
2303_03 (2),15.260547,0.972098,14.834747
2303_04 (1),17.644531,0.972098,17.152213
2303_09 (1),13.520703,0.972098,13.143448
2303_09 (4),19.376172,0.972098,18.835538
2303_11 (2),9.261328,0.972098,9.002918
2303_11 (4),9.771484,0.972098,9.49884
2303_13 (2),21.472656,0.972098,20.873526
2303_13 (4),33.200781,0.972098,32.274413
2303_15 (4),9.03125,0.972098,8.77926
2303_16 (4),20.432422,0.972098,19.862317
2303_17 (4),10.562891,0.972098,10.268165
ALLE_DATEIEN,35.642951,,
