datei_stamm,W,total_columns,coverage,MAE,Bias,Std,CI95_lower,CI95_upper,MaxAbsError
2181_1_1 (4),2560,2560,1.0,75.084766,-74.605078,65.606735,-77.147701,-72.062455,232.0
2181_1_2 (3),2560,2560,1.0,70.321875,-70.247656,53.782808,-72.332037,-68.163276,258.0
2181_1_2 (5),2560,2560,1.0,61.653125,-61.453125,43.492887,-63.138714,-59.767536,228.0
2181_2_2 (1),2560,2560,1.0,52.942578,-48.068359,37.670073,-49.528283,-46.608436,160.0
2181_2_2 (3),2560,2560,1.0,85.449609,-85.380078,60.824192,-87.737351,-83.022805,271.0
2181_2_3 (1),2560,2560,1.0,39.179297,-21.090234,46.736372,-22.901527,-19.278942,183.0
2181_3_1 (1),2560,2560,1.0,101.860156,-100.899219,78.192731,-103.929619,-97.868819,242.0
2303_01 (6),2560,2560,1.0,21.813281,2.39375,31.125125,1.18748,3.60002,97.0
2303_01 (9),2560,2560,1.0,43.866016,-17.724609,53.361878,-19.792677,-15.656542,167.0
2303_02 (2),2560,2560,1.0,20.460156,-19.071875,23.094728,-19.966923,-18.176827,123.0
2303_02 (4),2560,2560,1.0,31.979297,-29.944141,31.139132,-31.150954,-28.737327,159.0
2303_03 (2),2560,2560,1.0,15.260547,-10.773828,17.75985,-11.46212,-10.085536,85.0
2303_04 (1),2560,2560,1.0,17.644531,-6.582812,25.515601,-7.571683,-5.593942,104.0
2303_09 (1),2560,2560,1.0,13.520703,-11.412891,21.053817,-12.228842,-10.596939,105.0
2303_09 (4),2560,2560,1.0,19.376172,-17.403516,29.372,-18.541843,-16.265188,177.0
2303_11 (2),2560,2560,1.0,9.261328,-7.861328,15.063546,-8.445124,-7.277533,99.0
2303_11 (4),2560,2560,1.0,9.771484,-8.717578,16.505388,-9.357253,-8.077903,93.0
2303_13 (2),2560,2560,1.0,21.472656,-15.373438,30.376477,-16.550694,-14.196181,122.0
2303_13 (4),2560,2560,1.0,33.200781,-32.802344,33.036328,-34.082684,-31.522004,164.0
2303_15 (4),2560,2560,1.0,9.03125,-7.185938,9.869835,-7.568448,-6.803427,70.0
2303_16 (4),2560,2560,1.0,20.432422,-16.587109,29.57527,-17.733314,-15.440904,119.0
2303_17 (4),2560,2560,1.0,10.562891,-9.098828,17.14016,-9.763104,-8.434552,93.0
ALLE_DATEIEN,56320,56320,1.0,35.642951,-30.449556,48.618088,-30.851092,-30.048021,271.0
